user|artist_uri|artist_name|total_followers|genres
2|2gUMs9PE8XZVQyzCDqaYmW|High School Musical Cast|1248678|['dance pop', 'post-teen pop']
2|2mLA48B366zkELXYx7hcDN|Peggy Gou|436306|['electra', 'float house']
2|2ysnwxxNtSgbb9t1m2Ur4j|George Ezra|3617403|['folk-pop', 'modern rock', 'neo-singer-songwriter', 'pop', 'pop rock']
2|3TVXtAsR1Inumwj472S9r4|Drake|62502511|['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']
2|4GNC7GD6oZMSxPGyXy4MNB|Lewis Capaldi|9417899|['pop', 'uk pop']
2|53XhwfbYqKCa1cC15pYq2q|Imagine Dragons|39337972|['modern rock', 'rock']
2|6KImCVD70vtIoJWnq6nGn3|Harry Styles|19848955|['pop']
2|6b1Reb7bhjdXtkR7wUYW61|TC|31604|['bristol electronic', 'drum and bass', 'jump up', 'uk dnb']
2|6qqNVTkY8uBg9cP3Jd7DAH|Billie Eilish|60183732|['art pop', 'electropop', 'pop']
3|09K1H1DgyIXHsMx2j7KTFX|Mystery Jets|151722|['alternative dance', 'indie rock', 'modern rock', 'new rave']
3|0C0XlULifJtAgn6ZNCW2eu|The Killers|6455938|['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']
3|1Mtd57xUzIfeCexQtWRvgr|Rousseau|123864|[]
3|1Xyo4u8uXC1ZmMpatF05PJ|The Weeknd|43615082|['canadian contemporary r&b', 'canadian pop', 'pop']
3|1Zp054Jc86WVKCxKEqZGOA|Jack Garratt|351710|['uk alternative pop']
3|1dfeR4HaWDbWqFHLkxsg1d|Queen|40703006|['classic rock', 'glam rock', 'rock']
3|2WX2uTcsvV5OnS0inACecP|Birdy|3466437|['pop', 'pop rock']
3|2qk9voo8llSGYcZ6xrBzKx|Kings of Leon|4971620|['modern rock', 'rock']
3|2xaAOVImG2O6lURwqperlD|Catfish and the Bottlemen|935275|['modern alternative rock', 'modern rock', 'rock', 'stomp pop', 'welsh rock']
3|4GNC7GD6oZMSxPGyXy4MNB|Lewis Capaldi|9417899|['pop', 'uk pop']
3|4LEiUm1SRbFMgfqnQTwUbQ|Bon Iver|3188801|['eau claire indie', 'indie folk', 'melancholia']
3|4fgXfJCQnK6c44u4KzAtQP|Sundara Karma|182924|['english indie rock', 'modern alternative rock', 'modern rock', 'reading indie', 'rock']
3|53A0W3U0s8diEn9RhXQhVz|Keane|2489044|['neo mellow', 'piano rock', 'pop rock']
3|5INjqkS1o8h1imAzPqGZBb|Tame Impala|5578176|['australian psych', 'neo-psychedelic']
