track_name|track_uri|danceability|energy|speechiness|instrumentalness|tempo|acousticness|duration_ms|key|liveness|loudness|mode|time_signature|type|valence
Hurt|6ZVVax9sMTB6HPKu36eYZs|0.676|0.362|0.0323|0.000249|94.965|0.727|216027|4|0.168|-9.492|0|4|audio_features|0.733
Rise|3VdzKymHyCA7OQdUiDREKF|0.121|0.319|0.0372|0.862|94.89|0.528|435867|2|0.0932|-16.991|0|4|audio_features|0.0399
Think I'll Stay|168kXtIBw4nEJnvmR8nZBs|0.787|0.498|0.0343|0.0502|130.983|0.74|199627|1|0.0911|-8.532|1|4|audio_features|0.656
Blue Comanche|4NIIFmGWg2JjE68rSPtSPI|0.744|0.316|0.0258|0.332|107.02|0.804|208400|0|0.28|-9.257|0|4|audio_features|0.442
I Wonder Why|2HpDcssMlgQXfmAUYhePIP|0.619|0.654|0.0425|0.00332|80.0|0.209|228348|0|0.0604|-8.541|0|4|audio_features|0.726
Confirmation (SSBD)|0gcNTflElPYcxajA1LelYd|0.778|0.465|0.0326|0.162|121.974|0.804|258267|8|0.104|-8.637|1|4|audio_features|0.479
Concerning Hobbits|644es5aYPJghtZLjM1rmSP|0.488|0.0629|0.0342|0.406|104.311|0.843|175040|2|0.133|-21.524|1|4|audio_features|0.175
Desoleil (Brilliant Corners)|5rYTMjVkGioNF4MpSQISlg|0.826|0.483|0.371|3.77e-05|131.883|0.609|220402|8|0.145|-11.298|0|3|audio_features|0.116
Dream Appropriate|2FR4RtRGnsJ8a3UodZ5UPc|0.569|0.431|0.0347|0.864|96.953|0.597|104013|2|0.114|-7.338|0|4|audio_features|0.545
Memento Mori|6QzjpDOcw3iNEpThhku00y|0.319|0.104|0.0342|0.871|94.869|0.951|143659|4|0.0743|-19.644|1|4|audio_features|0.0344
Far and Beyond|3tbVwFLSct63LhbI2mU50s|0.495|0.0406|0.0499|0.928|151.974|0.991|197566|3|0.104|-24.758|0|4|audio_features|0.144
Eugene|0sT4slW2xWai3EwVSiuL9Y|0.618|0.59|0.0428|0.00848|174.266|0.779|223413|7|0.0906|-7.186|0|4|audio_features|0.896
Forth Eorlingas|5MlY3mwE2eQlmaYHONLTaO|0.186|0.418|0.0348|0.962|76.704|0.913|195667|9|0.126|-10.947|0|4|audio_features|0.0462
What Kinda Music|47w6S27JF4Zvrz1Wd6R66Z|0.523|0.56|0.145|0.83|96.167|0.0532|230470|5|0.0981|-9.423|0|4|audio_features|0.151
Midnight City|6GyFP1nfCDB8lbD2bG0Hq9|0.507|0.729|0.0393|1.4e-06|105.013|0.0182|243960|11|0.0658|-5.399|0|4|audio_features|0.272
Free - Single Version|26ka7pzhIonUoQFYjB6PbG|0.692|0.708|0.037|0.00051|87.985|0.478|219336|10|0.0706|-7.2|1|4|audio_features|0.964
Tarfala|6rJ0Zq5u7DeZmkC6YDwJFF|0.408|0.0108|0.0501|0.961|66.686|0.995|129848|10|0.106|-23.741|0|4|audio_features|0.158
Midnight Mischief - Tom Misch Remix|3O5JIwSON3KBaoyMUsjLjn|0.546|0.404|0.0353|0.0269|92.07|0.492|266087|7|0.115|-7.441|1|4|audio_features|0.0395
Topshottas Freestyle|26QK5v5NHjnYOzKEdTZ7d3|0.601|0.724|0.48|0.0|125.117|0.0859|130542|1|0.14|-6.769|0|5|audio_features|0.669
Storm (before they blow)|6Ex1t4s0LsfPH3sSGH44fR|0.717|0.704|0.0512|0.0|94.946|0.514|229200|7|0.136|-5.441|0|4|audio_features|0.587
Billionaire|3EaTPPQacnTrLkxx37PzCl|0.827|0.664|0.0456|0.0|102.978|0.68|163477|11|0.103|-5.898|1|4|audio_features|0.75
'97 Hov|1qzlwbV6SwHYOR3mhu6ZEd|0.462|0.517|0.369|0.0|79.585|0.47|250737|1|0.147|-12.017|1|4|audio_features|0.656
All We Got (feat. Kanye West & Chicago Children's Choir)|3ZLyt2ndLFBh148XRYjYYZ|0.531|0.544|0.462|1.89e-06|131.921|0.308|203794|0|0.0835|-8.615|0|4|audio_features|0.398
On Time|7LFtQkNNBFQW42iJgCkUIT|0.449|0.573|0.163|0.0|203.908|0.564|176216|11|0.154|-4.449|0|3|audio_features|0.423
Round Here|0JJnuR0JEA4CW8wkbUdgak|0.577|0.408|0.395|0.0|95.915|0.00951|185071|10|0.13|-10.53|0|4|audio_features|0.433
Breaking Bad (Okay)|4RyhgKioN2DEKpF1Fo6iqG|0.878|0.607|0.265|0.0|93.408|0.487|131287|1|0.169|-6.993|0|4|audio_features|0.895
Wraith-Ful|7c521vBOcemu5hGQQRGNwS|0.654|0.528|0.182|0.00104|83.884|0.815|252985|4|0.23|-10.182|0|4|audio_features|0.48
Heartbroken|1Y1lfD897czmPqULtHS7E7|0.772|0.664|0.0393|0.01|139.981|0.0275|288874|2|0.19|-5.462|1|4|audio_features|0.903
CR|7i4jMVQC5XIUKLNO0knsp3|0.456|0.699|0.299|0.0|102.011|0.227|177267|5|0.0555|-6.328|1|4|audio_features|0.773
Good Life|4ZPdLEztrlZqbJkgHNw54L|0.439|0.808|0.346|0.0|82.962|0.00305|207000|1|0.439|-6.881|1|4|audio_features|0.487
Run It Back|3yaEcxsLmNJ8cM1AOK2YkM|0.68|0.785|0.392|0.0|177.919|0.374|160800|5|0.406|-5.68|0|4|audio_features|0.368
